	raised	ROI_ATH	catg	vc	mm	cap_controlled	dao_approve	id	launch_date	platform	total_supply	fear_greed_val	month
derace	$355,000	165x	Gaming	 DAO Maker 	 MarketMaker.io 	1.0	1.0	derace	03/08/21	ethereum	120000000.0	48	08
vent-finance	$168,000	42x	DeFi	 DAO Maker 	 MarketMaker.io 	0.0	1.0	vent-finance	10/09/21	ethereum	250000000.0	46	09
infinity-pad	$100,000	35x	Launchpad			0.0	0.0	infinity-pad	26/07/21	ethereum	1000000000.0	26	07
opulous	$1,000,000	151x	DeFi	 DAO Maker 	 DAO Maker 	1.0	1.0	opulous	23/09/21	ethereum	500000000.0	27	09
formation-fi	$200,000	14x	DeFi	 Genblock 		0.0	1.0	formation-fi	18/06/21	ethereum	1000000000.0	25	06
gamestarter	$335,000	45x	Launchpad	 DAO Maker 	 DAO Maker 	1.0	1.0	gamestarter	11/08/21	ethereum	100000000.0	70	08
pera-finance	$245,000	5x	DeFi	 Existential 	 MarketMaker.io 	0.0	1.0	pera-finance	11/07/21	avalanche	125350784.0	20	07
openocean	$100,000	26x	Trading and Investment	 Binance 		0.0	1.0	openocean	12/07/21	binance-smart-chain	1000000000.0	25	07
delta-theta	$300,000	6x	Trading and Investment	 Three Commas 	 MarketMaker.io 	0.0	0.0	delta-theta	16/07/21	ethereum	99755226.0	22	07
lossless-protocol	$250,000	34x	Security	 DAO Maker 	 Dark Pool 	1.0	1.0	lossless	03/06/21	ethereum	100000000.0	24	06
ternoa	$150,000	28x	Infastructure	 LD Capital 		0.0	1.0	coin-capsule	31/05/21	ethereum	2500000000.0	18	05
spherium	$190,000	4x	Financial Services			0.0	1.0	spherium	18/08/21	ethereum	12923347.0	73	08
gold-fever	$105,000	69x	Gaming	 DAO Maker 	 DAO Maker 	1.0	1.0	gold-fever-native-gold	19/11/21	ethereum	170000000.0	34	11
knit-finance	$145,000	36x	DeFi	 AU21 	 MarketMaker.io 	0.0	0.0	knit-finance	02/09/21	ethereum	100000000.0	74	09
fear-nfts	$95,000	39x	Gaming	 DAO Maker 	 MarketMaker.io 	1.0	1.0	fear	26/05/21	ethereum	65000000.0	22	05
ioi	$200,000	14x	Gaming	 DAO Maker 	 MarketMaker.io 	0.0	1.0	ioi-token	11/06/21	ethereum	37500000.0	21	06
epik	$180,000	62x	Entertainment	 DAO Maker 	 Kairon Labs 	0.0	1.0	epik-prime	27/08/21	ethereum	2000000000.0	71	08
lever-network	$100,000	11x	Trading and Investment	 LD Capital 		0.0	0.0	lever-network	08/05/21	ethereum	100000000.0	67	05
xcad-network	$750,000	91x	DeFi	 DAO Maker 	 MarketMaker.io 	1.0	1.0	xcad-network	31/05/21	ethereum	198987808.659136	18	05
maki-swap	$100,000	22x	DeFi			0.0	0.0	makiswap	03/06/21	huobi-token	208955345.198495	24	06
ispolink	$100,000	11x	Blockchain Service	 AU21 	 Skynet Trading 	0.0	1.0	ispolink	07/05/21	ethereum	10000000000.0	64	05
sienna	$800,000	9x	DeFi	 Magnus Capital 	 Skynet Trading 	0.0	1.0	sienna	07/09/21		10000000.0	79	09
legends-of-crypto	$156,000	19x	Gaming	 SMC Capital 		0.0	1.0	locgame	03/05/21	ethereum	150000000.0	61	05
